Alabama A & M University,Normal,AL,www.aamu.edu/,Public,7182,12774,4051,3799,252,
University of Alabama at Birmingham,Birmingham,AL,www.uab.edu,Public,7206,16398,11200,8312,2888,
Amridge University,Montgomery,AL,www.amridgeuniversity.edu,Private,6870,6870,322,202,120,
University of Alabama in Huntsville,Huntsville,AL,www.uah.edu,Public,9192,21506,5525,4202,1323,
Alabama State University,Montgomery,AL,www.alasu.edu/email/index.aspx,Public,8720,15656,5354,4871,483,
The University of Alabama,Tuscaloosa,AL,www.ua.edu/,Public,9450,23950,28692,26247,2445,
Athens State University,Athens,AL,www.athens.edu,Public,0,0,2999,1349,1650,
Auburn University at Montgomery,Montgomery,AL,www.aum.edu,Public,8750,24950,4322,2999,1323,
Auburn University,Auburn University,AL,www.auburn.edu,Public,9852,26364,19761,17978,1783,
Birmingham Southern College,Birmingham,AL,www.bsc.edu/,Private,30690,30690,1181,1167,14,
Concordia College Alabama,Selma,AL,www.ccal.edu/,Private,8090,8090,523,490,33,
Faulkner University,Montgomery,AL,www.faulkner.edu,Private,18230,18230,2358,1803,555,
Huntingdon College,Montgomery,AL,www.huntingdon.edu,Private,23500,23500,1100,898,202,
Heritage Christian University,Florence,AL,www.hcu.edu,Private,9792,9792,67,32,35,
Jacksonville State University,Jacksonville,AL,www.jsu.edu/,Public,7092,13884,7195,5664,1531,
Judson College,Marion,AL,www.judson.edu,Private,15630,15630,331,261,70,
University of West Alabama,Livingston,AL,www.uwa.edu,Public,7660,14170,1988,1694,294,
Miles College,Fairfield,AL,www.miles.edu,Private,11454,11454,1663,1576,87,
University of Mobile,Mobile,AL,www.umobile.edu,Private,18690,18690,1472,1257,215,
University of Montevallo,Montevallo,AL,www.montevallo.edu,Public,10000,19690,2610,2348,262,
University of North Alabama,Florence,AL,www.una.edu,Public,7078,12670,5536,4784,752,
Oakwood University,Huntsville,AL,www.oakwood.edu,Private,16234,16234,1854,1770,84,
Samford University,Birmingham,AL,www.samford.edu,Private,26328,26328,2995,2844,151,
Selma University,Selma,AL,selmauniversity.org,Private,5840,5840,447,320,127,
University of South Alabama,Mobile,AL,www.southalabama.edu,Public,6948,13596,11048,8754,2294,
Spring Hill College,Mobile,AL,www.shc.edu,Private,30924,30924,1269,1205,64,
Southeastern Bible College,Birmingham,AL,www.sebc.edu,Private,11370,11370,160,130,30,
Stillman College,Tuscaloosa,AL,www.stillman.edu,Private,15901,15901,863,808,55,
Talladega College,Talladega,AL,www.talladega.edu,Private,11492,11492,894,849,45,
Troy University,Troy,AL,www.troy.edu,Public,7276,13612,16208,9109,7099,
Tuskegee University,Tuskegee,AL,www.tuskegee.edu,Private,18900,18900,2584,2468,116,
University of Alaska Anchorage,Anchorage,AK,www.uaa.alaska.edu,Public,5147,15206,13116,7193,5923,
Alaska Bible College,Palmer,AK,www.akbible.edu/,Private,9200,9200,26,21,5,
University of Alaska Fairbanks,Fairbanks,AK,www.uaf.edu,Public,4984,15560,5729,3555,2174,
University of Alaska Southeast,Juneau,AK,www.uas.alaska.edu,Public,5693,16269,1488,759,729,
Alaska Pacific University,Anchorage,AK,www.alaskapacific.edu,Private,29810,29810,340,209,131,
Thunderbird School of Global Management,Glendale,AZ,www.thunderbird.edu,Private,0,0,2,0,2,
American Indian College of the Assemblies of God Inc,Phoenix,AZ,www.aicag.edu/,Private,12000,12000,77,68,9,
College America-Flagstaff,Flagstaff,AZ,www.collegeamerica.edu,Private,17211,17211,209,209,0,
Arizona State University-Tempe,Tempe,AZ,www.asu.edu/,Public,9861,23654,38480,34852,3628,
University of Arizona,Tucson,AZ,www.arizona.edu,Public,10391,27383,31399,28289,3110,
Embry-Riddle Aeronautical University-Prescott,Prescott,AZ,www.erau.edu,Private,31034,31034,1802,1687,115,
Frank Lloyd Wright School of Architecture,Scottsdale,AZ,www.taliesin.edu,Private,0,0,2,2,0,
Dine College,Tsaile,AZ,www.dinecollege.edu,Public,805,805,1402,904,498,
Northern Arizona University,Flagstaff,AZ,nau.edu/,Public,9738,22093,22011,18575,3436,
Ottawa University-Phoenix,Phoenix,AZ,www.ottawa.edu,Private,0,0,335,2,333,
Prescott College,Prescott,AZ,www.prescott.edu,Private,29732,29732,540,439,101,
Arizona Christian University,Phoenix,AZ,www.arizonachristian.edu,Private,21832,21832,491,452,39,
University of Arkansas at Little Rock,Little Rock,AR,ualr.edu/www/,Public,7094,16871,8504,5261,3243,
University of Arkansas for Medical Sciences,Little Rock,AR,www.uams.edu,Public,0,0,755,563,192,
Arkansas Baptist College,Little Rock,AR,www.arkansasbaptist.edu,Private,8040,8040,1022,862,160,
Lyon College,Batesville,AR,www.lyon.edu,Private,23594,23594,570,561,9,
University of Arkansas,Fayetteville,AR,www.uark.edu,Public,7818,19074,20776,18455,2321,
University of Arkansas at Pine Bluff,Pine Bluff,AR,www.uapb.edu,Public,5938,11638,2503,2300,203,
Arkansas State University-Main Campus,Jonesboro,AR,www2.astate.edu,Public,7510,13120,9325,7557,1768,
Arkansas Tech University,Russellville,AR,www.atu.edu,Public,5598,10374,8734,7055,1679,
University of Arkansas at Monticello,Monticello,AR,www.uamont.edu,Public,5793,11590,3024,2470,554,
University of Central Arkansas,Conway,AR,www.uca.edu,Public,7595,13340,9261,8237,1024,
Central Baptist College,Conway,AR,www.cbc.edu,Private,13350,13350,769,648,121,
Crowley's Ridge College,Paragould,AR,www.crc.edu/,Private,10900,10900,153,143,10,
Harding University,Searcy,AR,www.harding.edu,Private,16170,16170,4428,4105,323,
Henderson State University,Arkadelphia,AR,www.hsu.edu,Public,7580,13700,3190,2876,314,
Hendrix College,Conway,AR,www.hendrix.edu,Private,37816,37816,1428,1422,6,
John Brown University,Siloam Springs,AR,www.jbu.edu,Private,22734,22734,1770,1571,199,
Ouachita Baptist University,Arkadelphia,AR,www.obu.edu,Private,22370,22370,1513,1503,10,
University of the Ozarks,Clarksville,AR,www.ozarks.edu,Private,24350,24350,568,565,3,
Philander Smith College,Little Rock,AR,www.philander.edu,Private,12564,12564,554,523,31,
Williams Baptist College,Walnut Ridge,AR,www.wbcoll.edu,Private,13750,13750,501,486,15,
Southern Arkansas University Main Campus,Magnolia,AR,www.saumag.edu,Public,7466,10616,2640,2420,220,
University of Arkansas-Fort Smith,Fort Smith,AR,uafs.edu/,Public,4528,10072,6508,5087,1421,
American Conservatory Theater,San Francisco,CA,www.act-sf.org,Private,0,0,0,0,0,
Art Center College of Design,Pasadena,CA,www.artcenter.edu,Private,36480,36480,1742,1475,267,
Azusa Pacific University,Azusa,CA,www.apu.edu,Private,32256,32256,6543,5683,860,
Bethesda University of California,Anaheim,CA,www.buc.edu,Private,7620,7620,259,204,55,
Biola University,La Mirada,CA,www.biola.edu,Private,32142,32142,4324,4180,144,
California Institute of Integral Studies,San Francisco,CA,www.ciis.edu,Private,0,0,75,68,7,
California Baptist University,Riverside,CA,www.calbaptist.edu,Private,28122,28122,5797,5086,711,
California College of the Arts,San Francisco,CA,www.cca.edu,Private,40334,40334,1463,1390,73,
California Institute of Technology,Pasadena,CA,www.caltech.edu,Private,41538,41538,977,977,0,
California Lutheran University,Thousand Oaks,CA,www.callutheran.edu/,Private,35720,35720,2882,2712,170,
California Polytechnic State University-San Luis Obispo,San Luis Obispo,CA,calpoly.edu,Public,8724,19884,18664,17992,672,
Alliant International University,San Diego,CA,www.alliant.edu,Private,15816,15816,254,171,83,
California State University-Bakersfield,Bakersfield,CA,www.csub.edu,Public,6775,17935,7226,6507,719,
California State University-Stanislaus,Turlock,CA,www.csustan.edu,Public,6491,17651,7751,6544,1207,
California State University-San Bernardino,San Bernardino,CA,www.csusb.edu,Public,6550,17710,15887,14195,1692,
California State Polytechnic University-Pomona,Pomona,CA,www.csupomona.edu,Public,6350,17510,20857,18383,2474,
California State University-Chico,Chico,CA,www.csuchico.edu,Public,6972,18132,15106,14116,990,
California State University-Dominguez Hills,Carson,CA,www.csudh.edu,Public,6100,17260,11894,8571,3323,
California State University-Fresno,Fresno,CA,www.csufresno.edu,Public,6287,17447,19911,17550,2361,
California State University-Fullerton,Fullerton,CA,www.fullerton.edu,Public,6186,17346,33000,26622,6378,
California State University-East Bay,Hayward,CA,www.csueastbay.edu,Public,6550,17710,12079,10508,1571,
California State University-Long Beach,Long Beach,CA,www.csulb.edu,Public,6240,17400,30440,25677,4763,
California State University-Los Angeles,Los Angeles,CA,www.calstatela.edu,Public,6344,17504,19525,16245,3280,
California State University-Northridge,Northridge,CA,www.csun.edu,Public,6525,17685,33581,28146,5435,
California State University-Sacramento,Sacramento,CA,www.csus.edu,Public,6628,17788,25991,21028,4963,
University of California-Berkeley,Berkeley,CA,www.berkeley.edu,Public,12864,35742,25951,25220,731,
University of California-Davis,Davis,CA,www.ucdavis.edu,Public,13895,36773,26483,25776,707,
University of California-Irvine,Irvine,CA,www.uci.edu/,Public,13149,36027,23517,23114,403,
University of California-Los Angeles,Los Angeles,CA,www.ucla.edu/,Public,12697,35575,28667,28077,590,
University of California-Riverside,Riverside,CA,www.ucr.edu,Public,12960,35838,18612,18197,415,
University of California-San Diego,La Jolla,CA,www.ucsd.edu,Public,13271,36149,23792,23147,645,
University of California-Santa Barbara,Santa Barbara,CA,www.ucsb.edu,Public,13746,36624,19362,19076,286,
University of California-Santa Cruz,Santa Cruz,CA,www.ucsc.edu/,Public,13397,36275,15695,15323,372,
Sofia University,Palo Alto,CA,www.sofia.edu,Private,0,0,20,20,0,
California Christian College,Fresno,CA,www.calchristiancollege.edu,Private,8275,8275,30,18,12,
California College San Diego,San Diego,CA,www.cc-sd.edu,Private,18480,18480,762,762,0,
California Institute of the Arts,Valencia,CA,www.calarts.edu,Private,40536,40536,987,974,13,
California Maritime Academy,Vallejo,CA,www.csum.edu,Public,6536,17696,1044,1007,37,
Chapman University,Orange,CA,www.chapman.edu,Private,43573,43573,5940,5733,207,
Charles R Drew University of Medicine and Science,Los Angeles,CA,www.cdrewu.edu,Private,11956,11956,83,41,42,
Concordia University-Irvine,Irvine,CA,www.cui.edu,Private,29630,29630,1916,1742,174,
San Diego Christian College,El Cajon,CA,www.sdcc.edu,Private,25888,25888,889,795,94,
Claremont McKenna College,Claremont,CA,www.claremontmckenna.edu/,Private,45625,45625,1311,1307,4,
Coleman University,San Diego,CA,www.coleman.edu,Private,20200,20200,532,433,99,
Columbia College-Hollywood,Tarzana,CA,www.columbiacollege.edu,Private,18804,18804,314,285,29,
Dell'Arte International School of Physical Theatre,Blue Lake,CA,www.dellarte.com/school,Private,12750,12750,14,14,0,
Dominican University of California,San Rafael,CA,www.dominican.edu,Private,40600,40600,1567,1289,278,
Fresno Pacific University,Fresno,CA,www.fresno.edu,Private,25716,25716,2496,2134,362,
